openmlid,algorithm,algorithmoptions,numinstances,numattributes,numattributesafterbinarization,trainpoints,numinstances_sub,numattributes_sub,builds,predictioncalls_training,predictioncalls_prediction
24,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 50,8124,22,121,1000,1000,22,50,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 50,8124,22,121,1000,1000,22,50,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 20,3196,36,40,1000,1000,36,20,1000,2196
24,logitboost,-L 0.01 -H 0.5 -Z 5 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 10 -P 100 -I 5,3196,36,40,1000,1000,36,5,1000,2196
12,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,216,216,1000,1000,216,20,1000,1000
3,logitboost,-L 0 -H 0.1 -Z 2 -P 100 -I 5,3196,36,40,1000,1000,36,5,1000,2196
14,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,76,76,1000,1000,76,20,1000,1000
16,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,64,64,1000,1000,64,20,1000,1000
22,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,47,47,1000,1000,47,20,1000,1000
24,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.1 -Z 3 -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 10 -P 100 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 2 -P 100 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 3 -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
12,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,216,216,1000,1000,216,20,1000,1000
14,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,76,76,1000,1000,76,20,1000,1000
16,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,64,64,1000,1000,64,20,1000,1000
24,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 10,8124,22,121,1000,1000,22,10,1000,7124
22,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,47,47,1000,1000,47,20,1000,1000
3,logitboost,-L 0.01 -H 0.1 -Z 3 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 2 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 1 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0.01 -H 0.1 -Z 3 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.1 -Z 2 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 1 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0.01 -H 0.1 -Z 1 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 2 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 5 -P 95 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 1 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 2 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
